ward,precinct,race,type,candidate,votes
01,01,MAYOR,Polling,ANDREW JONES,42
01,01,MAYOR,Polling,LYDA KREWSON,70
01,01,MAYOR,Polling,ROBB CUNNINGHAM,1
01,01,MAYOR,ABSENTEE,ANDREW JONES,4
01,01,MAYOR,ABSENTEE,LYDA KREWSON,17
01,01,MAYOR,ABSENTEE,ROBB CUNNINGHAM,0
01,01,MAYOR,PROVISIONAL,ANDREW JONES,0
01,01,MAYOR,PROVISIONAL,LYDA KREWSON,0
01,01,MAYOR,PROVISIONAL,ROBB CUNNINGHAM,0
01,01,MAYOR,HOUSE VOTES,ANDREW JONES,0
01,01,MAYOR,HOUSE VOTES,LYDA KREWSON,0
01,01,MAYOR,HOUSE VOTES,ROBB CUNNINGHAM,0
01,01,MAYOR,Total,ANDREW JONES,46
01,01,MAYOR,Total,LYDA KREWSON,87
01,01,MAYOR,Total,ROBB CUNNINGHAM,1
01,02,MAYOR,Polling,ANDREW JONES,31
01,02,MAYOR,Polling,LYDA KREWSON,66
01,02,MAYOR,Polling,ROBB CUNNINGHAM,0
01,02,MAYOR,ABSENTEE,ANDREW JONES,3
01,02,MAYOR,ABSENTEE,LYDA KREWSON,10
01,02,MAYOR,ABSENTEE,ROBB CUNNINGHAM,0
01,02,MAYOR,PROVISIONAL,ANDREW JONES,0
01,02,MAYOR,PROVISIONAL,LYDA KREWSON,0
01,02,MAYOR,PROVISIONAL,ROBB CUNNINGHAM,0
01,02,MAYOR,HOUSE VOTES,ANDREW JONES,0
01,02,MAYOR,HOUSE VOTES,LYDA KREWSON,0
01,02,MAYOR,HOUSE VOTES,ROBB CUNNINGHAM,0
01,02,MAYOR,Total,ANDREW JONES,34
01,02,MAYOR,Total,LYDA KREWSON,76
01,02,MAYOR,Total,ROBB CUNNINGHAM,0
01,03,MAYOR,Polling,ANDREW JONES,33
01,03,MAYOR,Polling,LYDA KREWSON,87
01,03,MAYOR,Polling,ROBB CUNNINGHAM,3
01,03,MAYOR,ABSENTEE,ANDREW JONES,2
01,03,MAYOR,ABSENTEE,LYDA KREWSON,17
01,03,MAYOR,ABSENTEE,ROBB CUNNINGHAM,0
01,03,MAYOR,PROVISIONAL,ANDREW JONES,0
01,03,MAYOR,PROVISIONAL,LYDA KREWSON,0
01,03,MAYOR,PROVISIONAL,ROBB CUNNINGHAM,0
01,03,MAYOR,HOUSE VOTES,ANDREW JONES,0
01,03,MAYOR,HOUSE VOTES,LYDA KREWSON,0
01,03,MAYOR,HOUSE VOTES,ROBB CUNNINGHAM,0
01,03,MAYOR,Total,ANDREW JONES,35
01,03,MAYOR,Total,LYDA KREWSON,104
01,03,MAYOR,Total,ROBB CUNNINGHAM,3
01,04,MAYOR,Polling,ANDREW JONES,44
01,04,MAYOR,Polling,LYDA KREWSON,90
01,04,MAYOR,Polling,ROBB CUNNINGHAM,2
01,04,MAYOR,ABSENTEE,ANDREW JONES,0
01,04,MAYOR,ABSENTEE,LYDA KREWSON,6
01,04,MAYOR,ABSENTEE,ROBB CUNNINGHAM,0
01,04,MAYOR,PROVISIONAL,ANDREW JONES,0
01,04,MAYOR,PROVISIONAL,LYDA KREWSON,0
